source,target,stock
AD,AR,624
AD,AU,59
AD,BE,196
AD,CL,196
AD,DK,102
AD,FR,3670
AD,DE,310
AD,IT,419
AD,MA,430
AD,NL,223
AD,PH,389
AD,PT,10739
AD,ES,19939
AD,SE,44
AD,CH,73
AD,GB,963
AD,US,96
AD,UY,93
AE,AF,7813
AE,BH,1906
AE,BD,1044505
AE,TD,5103
AE,EG,857947
AE,ER,18440
AE,ET,10538
AE,FR,17302
AE,IN,3310419
AE,ID,304044
AE,JO,161143
AE,KW,64398
AE,LB,39972
AE,MA,8529
AE,NP,26595
AE,NL,3010
AE,NG,14971
AE,PK,950145
AE,PH,538590
AE,QA,2549
AE,SA,6275
AE,SO,9284
AE,SS,15186
AE,LK,114911
AE,PS,55608
AE,SD,127057
AE,SY,50463
AE,TH,12227
AE,TN,5602
AE,TR,36417
AE,GB,27840
AE,US,14898
AE,YE,196095
AF,PK,95041
AF,TJ,4100
AF,UZ,204
AG,AI,39
AG,AW,5
AG,AU,7
AG,BS,2
AG,BB,308
AG,BZ,14
AG,BM,14
AG,VG,99
AG,CA,442
AG,BQ,11
AG,CN,136
AG,CU,20
AG,CW,19
AG,DM,4840
AG,DO,1819
AG,EG,10
AG,ET,91
AG,FR,41
AG,GF,5
AG,DE,84
AG,GH,31
AG,GD,195
AG,GP,77
AG,GY,6601
AG,HT,33
AG,HN,7
AG,IN,80
AG,IT,73
AG,JM,4069
AG,JP,20
AG,LB,56
AG,MQ,5
AG,MX,5
AG,MS,1160
AG,NL,16
AG,NZ,12
AG,NG,40
AG,PR,54
AG,KN,485
AG,LC,689
AG,VC,936
AG,SX,23
AG,ZA,45
AG,ES,12
AG,SR,45
AG,SY,248
AG,TT,734
AG,TC,6
AG,GB,1013
AG,US,2678
AG,VI,725
AG,VE,39
AI,CA,58
AI,DO,666
AI,GY,389
AI,JM,473
AI,MS,290
AI,KN,920
AI,GB,426
AI,US,463
AI,VI,414
AL,CA,913
AL,GR,31871
AL,IT,8973
AL,MK,538
AL,TR,1978
AL,US,2393
AM,AZ,87454
AM,BY,327
AM,GE,40794
AM,DE,679
AM,GR,1093
AM,IR,8711
AM,KZ,846
AM,LB,912
AM,RU,20528
AM,SY,2820
AM,TR,579
AM,TM,872
AM,UA,2638
AM,UZ,1058
AO,CV,62498
AO,TD,216
AO,CG,7189
AO,CI,274
AO,CD,258105
AO,GN,2284
AO,MZ,1692
AO,NA,6046
AO,PT,92793
AO,RW,7264
AO,ST,54516
AO,ZA,42688
AO,ZM,2092
AR,AF,9
AR,AL,68
AR,DZ,107
AR,AD,1
AR,AO,9
AR,AM,582
AR,AW,1
AR,AU,285
AR,AT,1060
AR,BH,12
AR,BB,7
AR,BY,315
AR,BE,557
AR,BZ,6
AR,BO,434759
AR,BR,50621
AR,BN,1
AR,BG,306
AR,BF,11
AR,CV,24
AR,KH,20
AR,CA,549
AR,CL,221109
AR,CN,14936
AR,HK,4
AR,CO,8963
AR,CG,43
AR,CR,127
AR,CI,1
AR,HR,1022
AR,CU,1147
AR,CY,48
AR,CZ,1860
AR,KP,14
AR,DK,254
AR,DM,4
AR,DO,709
AR,EC,990
AR,EG,246
AR,SV,75
AR,EE,50
AR,ET,33
AR,FJ,1
AR,FI,72
AR,FR,8465
AR,DE,9588
AR,GI,14
AR,GR,1055
AR,GL,15
AR,GD,11
AR,GT,99
AR,GN,1
AR,HT,42
AR,HN,68
AR,HU,846
AR,IS,8
AR,IN,100
AR,ID,21
AR,IR,142
AR,IQ,38
AR,IE,66
AR,IL,577
AR,IT,158049
AR,JM,11
AR,JP,4619
AR,JO,75
AR,KE,2
AR,LA,293
AR,LV,128
AR,LB,820
AR,LY,52
AR,LI,80
AR,LT,406
AR,LU,99
AR,MG,7
AR,MY,2
AR,MT,2
AR,MX,1504
AR,FM,4
AR,MC,10
AR,MA,219
AR,MZ,11
AR,MM,9
AR,NA,2
AR,NL,401
AR,NZ,11
AR,NI,94
AR,NE,1
AR,NG,44
AR,NO,60
AR,PK,5
AR,PA,167
AR,PY,704503
AR,PE,202643
AR,PH,60
AR,PL,7589
AR,PT,5147
AR,PR,77
AR,KR,8459
AR,MD,473
AR,RO,1118
AR,RU,1954
AR,SM,16
AR,SA,82
AR,SG,2
AR,SI,840
AR,SO,2
AR,ZA,130
AR,ES,101726
AR,LK,2
AR,SD,8
AR,SR,5
AR,SE,211
AR,CH,823
AR,SY,1167
AR,MK,1544
AR,TH,62
AR,TT,35
AR,TN,46
AR,TR,658
AR,TV,4
AR,UG,1
AR,UA,4573
AR,GB,978
AR,TZ,1
AR,US,5327
AR,UY,137726
AR,VU,8
AR,VE,1286
AR,VN,5
AR,ZM,1
AR,ZW,2
AS,CN,599
AS,FJ,332
AS,NZ,725
AS,PH,1117
AS,KR,295
AS,WS,15845
AS,TK,20
AS,TO,1290
AS,US,2553
AS,VN,211
AT,AF,19179
AT,AL,3465
AT,DZ,1420
AT,AD,2
AT,AO,375
AT,AG,7
AT,AR,1677
AT,AM,3359
AT,AU,2741
AT,AZ,1184
AT,BS,24
AT,BH,23
AT,BD,3013
AT,BB,23
AT,BY,1835
AT,BE,2835
AT,BZ,45
AT,BJ,88
AT,BM,20
AT,BT,26
AT,BO,560
AT,BA,170864
AT,BW,27
AT,BR,5710
AT,BN,6
AT,BG,17324
AT,BF,133
AT,BI,106
AT,CV,45
AT,KH,1054
AT,CM,720
AT,CA,2804
AT,CF,31
AT,TD,13
AT,CL,1385
AT,CN,19505
AT,HK,309
AT,MO,18
AT,CO,1728
AT,CG,503
AT,CR,197
AT,CI,234
AT,HR,44053
AT,CU,967
AT,CY,357
AT,CZ,60561
AT,KP,3095
AT,CD,770
AT,DK,1561
AT,DJ,7
AT,DM,56
AT,DO,3441
AT,EC,728
AT,EG,16397
AT,SV,74
AT,GQ,11
AT,ER,114
AT,EE,409
AT,ET,1405
AT,FJ,19
AT,FI,1759
AT,FR,9871
AT,GA,26
AT,GM,691
AT,GE,3651
AT,DE,246340
AT,GH,2724
AT,GR,4408
AT,GD,16
AT,GU,1
AT,GT,409
AT,GN,333
AT,GW,74
AT,GY,20
AT,HT,69
AT,HN,107
AT,HU,48967
AT,IS,207
AT,IN,14949
AT,ID,1336
AT,IR,17062
AT,IQ,6082
AT,IE,1084
AT,IL,2821
AT,IT,32746
AT,JM,229
AT,JP,3270
AT,JO,824
AT,KZ,1214
AT,KE,1081
AT,KW,278
AT,KG,713
AT,LA,136
AT,LV,887
AT,LB,2027
AT,LS,4
AT,LR,301
AT,LY,505
AT,LI,416
AT,LT,1000
AT,LU,840
AT,MG,82
AT,MW,41
AT,MY,531
AT,MV,9
AT,ML,109
AT,MT,118
AT,MR,36
AT,MU,125
