source,target,stock,year
AD,AR,624,2017
AD,AU,59,2017
AD,BE,196,2017
AD,CL,196,2017
AD,DK,102,2017
AD,FR,3670,2017
AD,DE,310,2017
AD,IT,419,2017
AD,MA,430,2017
AD,NL,223,2017
AD,PH,389,2017
AD,PT,10739,2017
AD,ES,19939,2017
AD,SE,44,2017
AD,CH,73,2017
AD,GB,963,2017
AD,US,96,2017
AD,UY,93,2017
AE,AF,7813,2017
AE,BH,1906,2017
AE,BD,1044505,2017
AE,TD,5103,2017
AE,EG,857947,2017
AE,ER,18440,2017
AE,ET,10538,2017
AE,FR,17302,2017
AE,IN,3310419,2017
AE,ID,304044,2017
AE,JO,161143,2017
AE,KW,64398,2017
AE,LB,39972,2017
AE,MA,8529,2017
AE,NP,26595,2017
AE,NL,3010,2017
AE,NG,14971,2017
AE,PK,950145,2017
AE,PH,538590,2017
AE,QA,2549,2017
AE,SA,6275,2017
AE,SO,9284,2017
AE,SS,15186,2017
AE,LK,114911,2017
AE,PS,55608,2017
AE,SD,127057,2017
AE,SY,50463,2017
AE,TH,12227,2017
AE,TN,5602,2017
AE,TR,36417,2017
AE,GB,27840,2017
AE,US,14898,2017
AE,YE,196095,2017
AF,PK,95041,2017
AF,TJ,4100,2017
AF,UZ,204,2017
AG,AI,39,2017
AG,AW,5,2017
AG,AU,7,2017
AG,BS,2,2017
AG,BB,308,2017
AG,BZ,14,2017
AG,BM,14,2017
AG,VG,99,2017
AG,CA,442,2017
AG,BQ,11,2017
AG,CN,136,2017
AG,CU,20,2017
AG,CW,19,2017
AG,DM,4840,2017
AG,DO,1819,2017
AG,EG,10,2017
AG,ET,91,2017
AG,FR,41,2017
AG,GF,5,2017
AG,DE,84,2017
AG,GH,31,2017
AG,GD,195,2017
AG,GP,77,2017
AG,GY,6601,2017
AG,HT,33,2017
AG,HN,7,2017
AG,IN,80,2017
AG,IT,73,2017
AG,JM,4069,2017
AG,JP,20,2017
AG,LB,56,2017
AG,MQ,5,2017
AG,MX,5,2017
AG,MS,1160,2017
AG,NL,16,2017
AG,NZ,12,2017
AG,NG,40,2017
AG,PR,54,2017
AG,KN,485,2017
AG,LC,689,2017
AG,VC,936,2017
AG,SX,23,2017
AG,ZA,45,2017
AG,ES,12,2017
AG,SR,45,2017
AG,SY,248,2017
AG,TT,734,2017
AG,TC,6,2017
AG,GB,1013,2017
AG,US,2678,2017
AG,VI,725,2017
AG,VE,39,2017
AI,CA,58,2017
AI,DO,666,2017
AI,GY,389,2017
AI,JM,473,2017
AI,MS,290,2017
AI,KN,920,2017
AI,GB,426,2017
AI,US,463,2017
AI,VI,414,2017
AL,CA,913,2017
AL,GR,31871,2017
AL,IT,8973,2017
AL,MK,538,2017
AL,TR,1978,2017
AL,US,2393,2017
AM,AZ,87454,2017
AM,BY,327,2017
AM,GE,40794,2017
AM,DE,679,2017
AM,GR,1093,2017
AM,IR,8711,2017
AM,KZ,846,2017
AM,LB,912,2017
AM,RU,20528,2017
AM,SY,2820,2017
AM,TR,579,2017
AM,TM,872,2017
AM,UA,2638,2017
AM,UZ,1058,2017
